id,text,cluster,cluster_size
161,"Fire detection: Lat=-30.893, Lon=152.131, Brightness=347.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
162,"Fire detection: Lat=-30.892, Lon=152.136, Brightness=325.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
163,"Fire detection: Lat=-30.889, Lon=152.130, Brightness=352.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
164,"Fire detection: Lat=-30.888, Lon=152.135, Brightness=339.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
165,"Fire detection: Lat=-30.886, Lon=152.130, Brightness=367.0, Confidence=80.0%, Date=2025-09-04 351, Satellite=N",0,2435
166,"Fire detection: Lat=-30.885, Lon=152.135, Brightness=352.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
167,"Fire detection: Lat=-30.884, Lon=152.139, Brightness=337.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
168,"Fire detection: Lat=-30.881, Lon=152.134, Brightness=356.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
169,"Fire detection: Lat=-30.879, Lon=152.128, Brightness=351.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
170,"Fire detection: Lat=-30.878, Lon=152.133, Brightness=342.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
171,"Fire detection: Lat=-30.875, Lon=152.128, Brightness=342.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
172,"Fire detection: Lat=-30.874, Lon=152.132, Brightness=354.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
173,"Fire detection: Lat=-30.871, Lon=152.132, Brightness=335.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
174,"Fire detection: Lat=-30.803, Lon=152.343, Brightness=332.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
175,"Fire detection: Lat=-30.792, Lon=150.781, Brightness=336.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
176,"Fire detection: Lat=-30.782, Lon=151.435, Brightness=328.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
177,"Fire detection: Lat=-30.764, Lon=152.473, Brightness=334.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
178,"Fire detection: Lat=-30.764, Lon=152.476, Brightness=346.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
179,"Fire detection: Lat=-30.763, Lon=152.477, Brightness=350.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
180,"Fire detection: Lat=-30.763, Lon=152.481, Brightness=331.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
181,"Fire detection: Lat=-30.724, Lon=147.772, Brightness=337.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
182,"Fire detection: Lat=-30.721, Lon=147.771, Brightness=349.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
